2017 10 29, 13:58, sea wall, islands, wind break, oyster farm, field hour, 5/5, NaN%
2017 10 29, 13:59, wind break, potholes, wind break, superdome, field day, 1/5, NaN%
2017 10 29, 14:00, , , , , , 0/5, NaN%
2017 10 29, 14:00, , , , , , 0/5, NaN%
2017 10 29, 14:00, , , , , , 0/5, NaN%
2017 10 29, 14:01, , , , , , 0/5, NaN%
2017 10 29, 14:02, , , , , , 0/5, NaN%
2017 10 29, 14:03, , , , , , 0/5, NaN%
2017 10 29, 14:03, , , , , , 0/5, NaN%
2017 10 29, 14:04, , , , , , 0/5, NaN%
2017 10 29, 14:04, , , , , , 0/5, NaN%
2017 10 29, 14:04, , , , , , 0/5, NaN%
2017 10 29, 14:04, , , , , , 0/5, NaN%
2017 10 29, 14:27, fishing, garden, bridge, superdome, field week, 0/5, 100%
2017 10 29, 14:27, , , , , , 0/5, 100%
2017 10 29, 14:30, , , , , , 0/5, 100%
2017 10 29, 14:45, , , , , , 0/5, 100%
2017 10 29, 15:01, , , , , , 0/5, 100%
2017 10 29, 15:02, , , , , , 0/5, 100%
2017 10 30, 10:10, , , , , , 0/5, 100%
2017 10 30, 10:11, , , , , , 0/5, 100%
2017 10 30, 10:12, , , , , , 0/5, 100%
2017 10 30, 10:13, , , , , , 0/5, 100%
2017 10 30, 10:13, , , , , , 0/5, 100%
2017 10 30, 10:14, , , , , , 0/5, 100%
2017 10 30, 10:15, , , , , , 0/5, 100%
2017 10 30, 10:15, , , , , , 0/5, 100%
2017 10 30, 10:16, , , , , , 0/5, 100%
2017 10 30, 10:17, , , , , , 0/5, 100%
2017 10 30, 10:24, , , , , , 0/5, 100%
2017 10 30, 10:24, , , , , , 0/5, 100%
2017 10 30, 10:26, , , , , , 0/5, 100%
2017 10 30, 10:27, , , , , , 0/5, 100%
2017 10 30, 10:53, , , , , , 0/5, 100%
